navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,domLoading,domInteractive,domContentLoadedEventStart,domContentLoadedEventEnd,domComplete,loadEventStart,loadEventEnd
0,1,8,9,9,9,-1537767237183,9,38,40,47,3390,3488,3648,4012,4012,4020
0,8,164,164,164,164,-1537767241250,164,166,166,263,1211,1353,1408,1980,1980,1985
0,1,95,95,95,95,-1537767243316,95,96,96,118,1201,1322,1394,3815,3815,3825
0,5,118,118,118,118,-1537767247215,118,121,121,126,1149,1248,1305,1687,1687,1691
0,1,109,109,109,109,-1537767248959,110,110,110,129,1304,1435,1503,1812,1812,1814
