navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,domLoading,domInteractive,domContentLoadedEventStart,domContentLoadedEventEnd,domComplete,loadEventStart,loadEventEnd
0,2,7,7,7,7,-1537767301137,8,23,24,30,772,788,792,913,913,914
0,1,61,61,61,61,-1537767302079,61,63,63,121,1398,1411,1413,1533,1533,1534
0,2,66,66,66,66,-1537767303631,66,67,67,169,1279,1330,1335,3398,3398,3398
0,2,63,65,65,65,-1537767307047,65,65,66,81,739,753,755,854,854,855
0,1,72,72,72,72,-1537767307920,72,74,74,134,904,917,919,1022,1022,1023
