navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,domLoading,domInteractive,domContentLoadedEventStart,domContentLoadedEventEnd,domComplete,loadEventStart,loadEventEnd
0,2,2,2,2,2,-1537767015230,213,234,236,268,601,714,736,1219,1219,1240
0,2,389,389,389,389,-1537767016538,389,390,391,402,1322,1514,1537,1589,1589,1606
0,2,28,29,29,29,-1537767018166,29,31,31,341,752,877,903,926,926,943
0,2,31,32,32,32,-1537767019148,32,33,33,149,718,894,919,966,966,982
0,2,206,207,207,207,-1537767020184,207,208,208,559,1407,1512,1527,1536,1536,1551
