navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,domLoading,domInteractive,domContentLoadedEventStart,domContentLoadedEventEnd,domComplete,loadEventStart,loadEventEnd
0,1,19,20,20,20,-1537767222725,20,32,35,37,1570,1606,1740,4222,4222,4271
0,1,122,122,122,122,-1537767227081,123,124,124,156,1209,1274,1335,2148,2148,2176
0,6,177,177,177,177,-1537767229288,178,179,179,266,1413,1491,1579,2293,2293,2314
0,2,126,127,127,127,-1537767231637,127,128,128,238,1444,1513,1579,2270,2270,2299
0,1,149,149,149,149,-1537767234045,149,150,150,175,1607,1666,1740,3034,3034,3054
