navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,domLoading,domInteractive,domContentLoadedEventStart,domContentLoadedEventEnd,domComplete,loadEventStart,loadEventEnd
0,4,4,4,4,4,-1537767029780,16,20,24,41,359,362,373,379,379,386
0,1,29,30,30,30,-1537767030240,30,30,31,58,303,306,318,324,324,330
0,3,57,57,57,57,-1537767030631,57,58,58,180,621,623,633,638,638,644
0,1,29,29,29,29,-1537767031326,29,30,30,78,282,301,317,322,322,326
0,3,30,30,30,30,-1537767031682,30,30,31,81,270,272,283,289,289,293
