navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,domLoading,domInteractive,domContentLoadedEventStart,domContentLoadedEventEnd,domComplete,loadEventStart,loadEventEnd
0,2,9,9,9,9,-1537767192725,9,38,39,45,2303,2341,2407,4739,4739,4747
0,2,172,172,172,172,-1537767197529,172,174,174,316,1182,1303,1366,1910,1910,1913
0,2,100,101,101,101,-1537767199489,101,101,101,110,2084,2136,2191,2355,2355,2359
0,1,109,109,109,109,-1537767201879,109,110,110,166,1229,1331,1395,1817,1817,1820
0,2,111,112,112,112,-1537767203732,112,114,114,127,1104,1256,1313,2791,2791,2793
