navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,domLoading,domInteractive,domContentLoadedEventStart,domContentLoadedEventEnd,domComplete,loadEventStart,loadEventEnd
0,2,34,35,35,35,-1537767176764,35,52,55,57,2558,2594,2726,3546,3546,3611
0,11,183,183,183,183,-1537767180431,183,183,183,238,2310,2351,2493,3069,3069,3088
0,1,134,134,134,134,-1537767183563,134,135,135,294,1852,1894,1963,3494,3494,3517
0,1,142,143,143,143,-1537767187128,143,144,144,158,2265,2300,2371,2938,2938,2960
0,1,122,123,123,123,-1537767190116,123,124,124,150,1846,1897,1965,2534,2534,2558
