navigationStart,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,domLoading,domInteractive,domContentLoadedEventStart,domContentLoadedEventEnd,domComplete,loadEventStart,loadEventEnd
0,1,6,6,6,6,-1537767206594,6,19,22,29,2380,2532,2653,3477,3477,3501
0,2,154,155,155,155,-1537767210157,155,156,156,167,1778,1939,2050,2955,2955,3003
0,8,156,156,156,156,-1537767213200,156,157,157,206,1514,1641,1732,3487,3487,3524
0,1,129,130,130,130,-1537767216758,130,130,130,137,1934,1971,2062,3129,3129,3161
0,2,167,167,167,167,-1537767219973,168,168,168,210,1430,1502,1575,2598,2598,2648
